ID,pricesold,yearsold,zipcode,Mileage,Make,Model,Year,Trim,Engine,BodyType,NumCylinders,DriveType
51171,31000,2019,40222,26000,Maserati,Gran Turismo,2009,S,4.7 liter,Coupe,8,
149334,10000,2020,800**,101862,Cadillac,DeVille Sedan,1966,,7.0l,Sedan,0,RWD
47786,11500,2019,80020,155861,Plymouth,Belvedere,1966,BASIC,v8 383,Convertible,8,RWD
150216,5000,2020,800**,170285,BMW,3-Series,1989,I AUTOMATIC,2.5L Gas I6,Convertible,6,RWD
19071,15000,2019,90260,6756,Ford,Model A,1931,Cabriolet,4cyl,Convertible,4,RWD
96419,22770,2019,5733,31008,Ford,Wagon,1949,,350 ci,Wagon,8,
44319,15700,2019,16001,81976,Dodge,Sprinter,2006,3500 CARGO VAN,2.7L Turbocharged Diesel,Cargo Van,5,RWD
81191,69000,2019,,49983,Mercedes-Benz,SLS AMG,2012,,,,0,
137943,25100,2020,730**,99999,Dodge,Challenger,1970,SE,440 Magnum,Coupe,8,RWD
88927,1380,2019,83860,100000,Chevrolet,Bel Air/150/210,1956,,,Sedan,6,RWD
121144,3500,2020,430**,101249,Chrysler,300 Series,2006,TOURING,3.5L MPI 24-VALVE HO V6,Sedan,6,RWD
155642,29000,2020,386**,25165,Chevrolet,Corvette,2007,,,Coupe,0,
59517,4000,2019,33707,210500,Chevrolet,Silverado 2500,2002,LT,6.6L Turbo Diesel Duramax,Crew Cab Pickup,8,4WD
56873,10010,2019,1501,21632,Chevrolet,Camaro,1987,,350,Coupe,8,RWD
5550,34200,2018,90046,21750,Ferrari,Mondial,1989,T Cabriolet,,Convertible,8,
46260,5500,2019,86314,10000,Volkswagen,Beetle - Classic,1973,,1600 Dual Port,Coupe,4,RWD
73673,5000,2019,48450,286731,Chevrolet,C/K Pickup 3500,1997,Slt,6.5L V8 Diesel,Extended Cab Pickup,8,RWD
84557,3900,2019,59601,186207,Mercedes-Benz,S-Class,2007,S550 4dr Sedan 5.5L V8 4MATIC,,Sedan,8,
15603,16600,2019,65080,1008,Ford,Mustang,1967,GT,351 V-8,Coupe,8,RWD
159763,9400,2020,950**,56054,Ford,Mustang,1985,GT,5.7L Gas V8,Convertible,8,RWD
159811,30000,2020,950**,18745,Ford,Bronco,1973,EXPLORER,302,SUV,8,4WD
94091,750,2019,10541,184923,Lexus,ES,1998,,,,6,FWD
132490,5100,2020,870**,58694,Chevrolet,Other Pickups,1983,Silverado,6.2L Diesel V8,Crew Cab Pickup,8,RWD
161768,3700,2020,708**,51939,BMW,X1,2014,,,,4,AWD
85945,3500,2019,46319,60200,Dodge,Power Wagon,1977,M880/W200,5.2 Liter 318 V8,Standard Cab Pickup,8,4WD
58533,9600,2019,49068,0,Dodge,Dart,1973,Swinger,408 stroker,Sedan,8,RWD
60897,1500,2019,2445,220,Toyota,Tundra,2000,Base,6 cylinder,Standard Cab Pickup,6,RWD
91309,6700,2020,85017,100000,Jeep,CJ,1978,,360 AMC V8,SUV,8,4WD
139014,7100,2020,750**,135000,Porsche,Boxster,1999,,,Convertible,6,RWD
158856,31100,2020,296**,999999,Chevrolet,Blazer,1972,,350,SUV,0,4WD
165573,2650,2020,330**,89592,Ford,Mustang,1993,LX,2.3L Gas I4,Convertible,4,RWD
164846,2850,2020,330**,127001,Jaguar,XK8,1998,,4.0L Gas V8,Coupe,8,RWD
165408,3900,2020,330**,89759,Jaguar,XK8,1999,2 Door Convertible,4.0L Gas V8,Convertible,8,RWD
